170.000000 224.000000 1.31 tree_2_racks_20_tasks
215.000000 295.000000 1.37 tree_3_racks_30_tasks
1437.000000 2063.000000 1.43 tree_10_racks_1000_tasks
1316.000000 1907.000000 1.44 tree_5_racks_500_tasks
1074.000000 1614.000000 1.50 tree_3_racks_300_tasks
858.000000 1312.000000 1.52 tree_2_racks_200_tasks
1167.000000 1748.000000 1.49 tree_4_racks_400_tasks
277.000000 435.000000 1.57 tree_2_racks_40_tasks
923.000000 1481.000000 1.60 tree_10_racks_500_tasks
523.000000 934.000000 1.78 tree_2_racks_100_tasks
298.000000 554.000000 1.85 tree_5_racks_50_tasks
238.000000 435.000000 1.82 tree_4_racks_40_tasks
764.000000 1377.000000 1.80 tree_5_racks_250_tasks
633.000000 1176.000000 1.85 tree_10_racks_200_tasks
474.000000 904.000000 1.90 tree_10_racks_100_tasks
581.000000 1088.000000 1.87 tree_3_racks_150_tasks
652.000000 1247.000000 1.91 tree_4_racks_200_tasks
411.000000 841.000000 2.04 tree_5_racks_100_tasks
309.000000 691.000000 2.23 tree_3_racks_60_tasks
351.000000 811.000000 2.31 tree_4_racks_80_tasks
